feature,class,grid_value_scaled,ice_std,ice_q10,ice_q50,ice_q90
fixed acidity,low,-1.5933200120925903,0.08490795168875902,0.002999211684800685,0.008530646096915007,0.05406346470117571
fixed acidity,low,-1.356042742729187,0.09102597715293799,0.002216019853949547,0.008401024155318737,0.06969847604632377
fixed acidity,low,-1.1187653541564941,0.09548232707227537,0.0020021285628899935,0.008871142752468586,0.06605978608131412
fixed acidity,low,-0.881488025188446,0.1006489646071009,0.0016671153716742992,0.009157143533229828,0.08498622253537179
fixed acidity,low,-0.644210696220398,0.10196265521042701,0.0014097675331868232,0.009830869734287262,0.06550439447164536
fixed acidity,low,-0.40693339705467224,0.0993270759676088,0.0013030755333602428,0.010259052738547325,0.07358978018164639
fixed acidity,low,-0.16965605318546295,0.08644550736564785,0.0008286630996735768,0.009608231950551271,0.07709640935063362
fixed acidity,low,0.06762126833200455,0.05560313819062639,0.001537361997179687,0.010387293063104153,0.08214797750115395
fixed acidity,low,0.30489858984947205,0.04969001450991999,0.0012033901293762028,0.012065202463418245,0.09772449359297754
fixed acidity,low,0.5421759486198425,0.05184011274891379,0.0012061386718414725,0.015190359205007553,0.10409053191542633
fixed acidity,low,0.7794532179832458,0.07219896715224637,0.0017461186158470809,0.018822048790752888,0.15765523314476015
fixed acidity,low,1.016730546951294,0.05613577785349365,0.0007088607351761311,0.02018536999821663,0.12162711098790169
fixed acidity,low,1.2540079355239868,0.05417445609879026,0.0006673695053905249,0.020733960904181004,0.12276192530989648
fixed acidity,low,1.4912852048873901,0.054348275647870634,0.00044349643285386265,0.016706522554159164,0.10884791985154153
fixed acidity,low,1.728562593460083,0.05589118086084349,0.00036473706131801015,0.013900414109230042,0.116610287129879
fixed acidity,low,1.9658398628234863,0.08185972942006982,0.0003655145119410009,0.015342803206294775,0.1636185109615326
fixed acidity,low,2.2031171321868896,0.13593370362878174,0.0003576118149794638,0.011100594885647297,0.17924785166978838
fixed acidity,low,2.440394639968872,0.17269464727790887,0.00041134441271424295,0.010878215078264475,0.16850641220808033
fixed acidity,low,2.6776719093322754,0.20152058983418877,0.000511711000581272,0.009223900735378265,0.22408146709203727
fixed acidity,low,2.9149491786956787,0.22686575100005152,0.0005301325290929526,0.007557692937552929,0.2774336665868759
fixed acidity,medium,-1.5933200120925903,0.256469514038765,0.3895506769418716,0.969001442193985,0.9936694145202637
fixed acidity,medium,-1.356042742729187,0.2501627530140808,0.39626928567886355,0.9646432101726532,0.9919638752937316
fixed acidity,medium,-1.1187653541564941,0.24409985623028943,0.38934303820133215,0.956837385892868,0.9911481380462647
fixed acidity,medium,-0.881488025188446,0.2383386043405503,0.41291184425354005,0.9532105624675751,0.9907721996307373
fixed acidity,medium,-0.644210696220398,0.23225120562180715,0.4369540065526963,0.9445623159408569,0.9948714196681976
fixed acidity,medium,-0.40693339705467224,0.23017685019188658,0.461367404460907,0.9453563988208771,0.9905080556869507
fixed acidity,medium,-0.16965605318546295,0.2304434883625486,0.4256809651851654,0.9299599528312683,0.9914288282394409
fixed acidity,medium,0.06762126833200455,0.22678746259193602,0.4429724454879761,0.9193122684955597,0.9898729920387268
fixed acidity,medium,0.30489858984947205,0.21166553317484413,0.6709157586097717,0.9109463095664978,0.9884629428386689
fixed acidity,medium,0.5421759486198425,0.22628371244123457,0.46023575961589813,0.9178330898284912,0.990934407711029
fixed acidity,medium,0.7794532179832458,0.26361472845287487,0.2601190596818924,0.9198683202266693,0.993602705001831
fixed acidity,medium,1.016730546951294,0.2832470415781012,0.2180447593331337,0.913823276758194,0.994248628616333
fixed acidity,medium,1.2540079355239868,0.275567615454987,0.26513099670410156,0.911060094833374,0.9926888763904571
fixed acidity,medium,1.4912852048873901,0.2472635421117535,0.42760409414768225,0.9172143638134003,0.9918059885501862
fixed acidity,medium,1.728562593460083,0.25757443240681066,0.429682132601738,0.9147791266441345,0.9931252658367157
fixed acidity,medium,1.9658398628234863,0.26174327552383775,0.4197418361902237,0.9177394509315491,0.9960807979106903
fixed acidity,medium,2.2031171321868896,0.265615745607556,0.33516697585582733,0.9158022701740265,0.9918735027313232
fixed acidity,medium,2.440394639968872,0.2594628132115838,0.4001876324415207,0.9227780401706696,0.9941251754760743
fixed acidity,medium,2.6776719093322754,0.26326667815112886,0.38733160793781285,0.9273756444454193,0.9935651481151581
fixed acidity,medium,2.9149491786956787,0.27002397099034425,0.37897908091545107,0.9268825054168701,0.9925155460834503
fixed acidity,high,-1.5933200120925903,0.22348629461577074,0.001993211405351758,0.012701763305813074,0.515938663482666
fixed acidity,high,-1.356042742729187,0.20260120670629272,0.0018512042821384968,0.018252563662827015,0.5066508531570435
fixed acidity,high,-1.1187653541564941,0.20089939130059475,0.0015147524885833264,0.02708148956298828,0.45826222002506267
fixed acidity,high,-0.881488025188446,0.18954344584956812,0.0021127633983269336,0.030322455801069736,0.3761269629001618
fixed acidity,high,-0.644210696220398,0.1982198362515749,0.0021825656178407374,0.025955697521567345,0.43519873321056374
fixed acidity,high,-0.40693339705467224,0.1713402833748026,0.0013837587903253736,0.02690436691045761,0.28848077356815344
fixed acidity,high,-0.16965605318546295,0.16551270148470054,0.0020898595917969946,0.019150718115270138,0.255397629737854
fixed acidity,high,0.06762126833200455,0.1598915092967372,0.0014389468240551652,0.019558421336114407,0.22072659283876422
fixed acidity,high,0.30489858984947205,0.17307141539432555,0.001515110838226974,0.014299330301582813,0.26499843001365675
fixed acidity,high,0.5421759486198425,0.17738635653033802,0.002048468077555299,0.017240301705896854,0.2988036066293717
